"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"707","SOCS2",-1.61017534633937,7.99730757324307,-13.6291624758086,5.60712687357988e-40,6.27246337040694e-39,79.5346415463303
"708","LAMA3",-1.36149435744705,6.81848227779151,-13.5996226674649,8.03775125846169e-40,8.95750905842177e-39,79.1766309230368
"709","ECHDC3",-1.09177710845515,8.3400451198038,-13.5360392595851,1.74132120912499e-39,1.90575537775894e-38,78.4080869436213
"710","JUNB",-1.03670546853632,7.90845459505616,-13.5103893558013,2.37670786531326e-39,2.59152005585267e-38,78.0988504946065
"711","CFH",-1.20037456408875,7.08031950533633,-13.5051716945862,2.53181945843376e-39,2.75385971352149e-38,78.0360024060771
"712","AOX1",-1.14384800912201,6.34754864964124,-13.4732746049482,3.72482993458167e-39,4.03660185190021e-38,77.6522078014891
"713","ACTG2",-2.40407259564646,8.86814193237709,-13.4630501639354,4.21491052039198e-39,4.55653468604233e-38,77.5293352854333
"714","STARD10",1.6419173375801,10.4016636448145,13.4590651002464,4.42285591816724e-39,4.77549632287581e-38,77.4814645088731
"715","TM4SF18",-1.35587490656379,7.49456027753777,-13.4584099439812,4.45800680444228e-39,4.80757977703453e-38,77.4735954770423
"716","XIST",-1.14812848039851,8.20021028088887,-13.4571071568299,4.5287330618135e-39,4.88087586418243e-38,77.4579486942568
"717","KRT19",1.80522142486793,12.4358864812062,13.4518079930654,4.82811107046934e-39,5.19087978068819e-38,77.3943167448872
"718","RARRES2",-1.36318830462938,9.42504490078662,-13.4324201249687,6.10123469987621e-39,6.54374996373624e-38,77.1616765916071
"719","C2CD4B",-1.69873616144484,6.80267262424254,-13.4231943597053,6.81936085965305e-39,7.30067894454139e-38,77.0510668374024
"720","BLZF1",-1.1222514930858,10.5003672997282,-13.4166901585843,7.37561376989613e-39,7.87711987526467e-38,76.9731224483787
"721","PYCARD",1.33012525592358,10.0009459158022,13.4026241988158,8.73776706281432e-39,9.30380182257279e-38,76.8046618735301
"722","NFIB",-1.7036771304185,10.0111932289704,-13.3988163349795,9.14777310183144e-39,9.73450752581172e-38,76.7590810207098
"723","EGFR",-1.19719478799736,6.2939556307769,-13.3936089480759,9.73963360473682e-39,1.03580974103052e-37,76.6967641183642
"724","CENPA",1.06680376839453,6.67052706637355,13.3586325103605,1.48322322143309e-38,1.56330666831142e-37,76.2786949709926
"725","GEM",-1.2527856107898,7.11655849605733,-13.3164497459395,2.46042973688575e-38,2.57181798620339e-37,75.7756364257764
"726","TRIP13",1.16505788876621,7.05436981773394,13.3018424043113,2.93089450239803e-38,3.05455510721341e-37,75.6017265964713
"727","VLDLR",-1.03356163597607,6.75696902610181,-13.3014597065784,2.94435488235361e-38,3.06497118595091e-37,75.5971723597151
"728","BAIAP2L1",1.02865483033363,7.96443972483664,13.1860907775345,1.1664132029413e-37,1.19450978038332e-36,74.2289703238187
"729","SERINC2",1.11388381732789,7.89782266364204,13.1827484581248,1.21370249928525e-37,1.2422188890254e-36,74.189473322214
"730","CTSG",-1.71886109803074,7.13782632056677,-13.1470602760872,1.85435695395905e-37,1.8870055861749e-36,73.7682329211149
"731","CLDN8",-1.82460733694486,7.12830779064175,-13.1425425358943,1.95644730985072e-37,1.98974854065669e-36,73.7149730803106
"732","PI15",-1.97089474135756,6.56671268782179,-13.1240851738324,2.4349665307429e-37,2.47214799441555e-36,73.4975295350548
"733","GAS6",-1.07703032835001,9.40727152044018,-13.1194286609662,2.57305924930042e-37,2.60785821679813e-36,73.4427101958745
"734","TMEM79",1.10508548942665,8.42673816503338,13.1129662328528,2.77770800261402e-37,2.81205173063718e-36,73.3666561410549
"735","ETFB",-1.16267317839882,8.43523825007434,-13.0984701621409,3.29757255074188e-37,3.33016123949823e-36,73.1961653795797
"736","FAM83D",1.06494856778777,6.42277501381399,13.0840838860541,3.90907372476809e-37,3.93264379387078e-36,73.0271143014313
"737","CMTM7",-1.29266953007127,9.28306165350204,-13.0835911714285,3.93190509648078e-37,3.95336404413639e-36,73.0213271012389
"738","DLK1",-1.71468077336622,5.85344649381352,-13.0816522061018,4.02304834293763e-37,4.04041073215189e-36,72.9985545880183
"739","SGK1",-1.09188845329453,9.29961088291384,-13.0475794392059,6.01524299367386e-37,6.01728436573053e-36,72.5988198485701
"740","GABRP",-2.55276668992036,7.16147770514262,-13.0366955290024,6.8388285312572e-37,6.81033341237696e-36,72.4713071418129
"741","GLDN",-1.01857507859616,6.18346279742593,-13.0140661275635,8.92756941597914e-37,8.85050407460802e-36,72.2064594049481
"742","ID1",-1.0004201630495,7.68474426507824,-13.0126061380451,9.08229882256941e-37,8.99885361209874e-36,72.1893847328083
"743","ARL4A",-1.23225559213018,6.97982153226691,-13.0099843079137,9.36688708137749e-37,9.27563073467202e-36,72.1587260974679
"744","ERRFI1",-1.05392587273704,8.93361277009948,-12.9948096134001,1.11971498051358e-36,1.10694684993645e-35,71.9813761606274
"745","WLS",-1.44034655235926,8.34591653268464,-12.9530128991175,1.82909496043363e-36,1.79519275639452e-35,71.4937440614974
"746","CSN1S1",-1.0034955663122,5.53025321296825,-12.9453767290868,2.00039585823296e-36,1.95897016327288e-35,71.4047904296806
"747","ZFP36L2",-1.07960817065551,8.04973872229874,-12.9403886971022,2.12081524036688e-36,2.07230598569771e-35,71.3467075776994
"748","TUBB2B",-1.89025080701879,7.20051957582257,-12.8082823612348,9.9094884298862e-36,9.514615221008e-35,69.8149357263435
"749","KRT17",-2.40331817625731,8.01604154179868,-12.7932205431282,1.180437480796e-35,1.12971955007349e-34,69.641095652248
"750","ANKRD33",1.130369746114,8.56713500730257,12.7678787825531,1.58394615311177e-35,1.50935730947924e-34,69.3489781490572
"751","HOXA10",-1.06850833832023,6.34762567782061,-12.7197183001227,2.76609927344942e-35,2.61610864974473e-34,68.7951121688214
"752","THY1",1.06182713018348,9.90628492573389,12.7142349118022,2.94706336351343e-35,2.78577031785669e-34,68.7321578484176
"753","STAT1",1.48573390743931,10.1764185823064,12.7090597673628,3.12863879102658e-35,2.95582829370171e-34,68.672762529006
"754","CPE",-1.30795741687044,8.05898196882543,-12.6922369160189,3.7993117855239e-35,3.57608452574644e-34,68.4798208291006
"755","MAGED2",1.18318001468593,8.55570946362672,12.6877043632366,4.00327929413222e-35,3.76206150882159e-34,68.427872134674
"756","SERPING1",-1.09855982226494,9.13345491082073,-12.6873764485232,4.01845121376405e-35,3.77431376349607e-34,68.4241144049531
"757","EPDR1",-1.12418474636255,7.9748351652364,-12.6718957154019,4.80370922698182e-35,4.49753315978828e-34,68.246802591757
"758","DUSP6",-1.02524053730474,7.61791685526207,-12.6664208080951,5.11650804901229e-35,4.78279922594246e-34,68.1841364404823
"759","HIST2H2AA3",1.08106332826216,6.67456485155581,12.6508300877988,6.12265036878184e-35,5.70823375974042e-34,68.0058038798694
"760","SLC9A3R1",1.36911334153751,10.8153463256917,12.6253060299108,8.21135107234468e-35,7.63142170601619e-34,67.7142333059834
"761","C4orf48",1.11655565903679,10.8209403137277,12.6208057700714,8.64707167735474e-35,8.02793226696567e-34,67.6628745887156
"762","APCDD1L",-1.19165253215193,6.47232852056213,-12.6014143268586,1.08031736206513e-34,9.9929355991025e-34,67.4417413546921
"763","MAFA",1.21728094544377,7.69570765201169,12.5701222280861,1.5463866693418e-34,1.42148620758727e-33,67.0854778600557
"764","ALPL",-1.40633145690427,7.81225718748305,-12.5646041374532,1.64722965293173e-34,1.51261181940553e-33,67.0227283115064
"765","AK5",-1.04266439556497,6.05265881263817,-12.5607431291822,1.72165227461683e-34,1.57931235108264e-33,66.9788357283524
"766","GOLT1A",1.01662557300526,7.04607073705604,12.5311326302115,2.41528796625951e-34,2.20416836797036e-33,66.6425823190312
"767","RHOBTB3",-1.28779413684581,8.5548189046449,-12.5292601933343,2.46749743295712e-34,2.25065289320679e-33,66.6213407843597
"768","TNFRSF21",-1.26550083519991,8.61550605261931,-12.5258784667141,2.56465041022655e-34,2.33806222449828e-33,66.5829839015241
"769","RAB31",1.16924734346808,10.8629757169543,12.5204987188971,2.7271011308826e-34,2.48104478399123e-33,66.5219819882779
"770","PRRT3",1.12459896883465,7.41283500405307,12.4857470082218,4.05304270608954e-34,3.66285709248337e-33,66.1284389433028
"771","HOOK1",1.0891270957445,8.25864078092193,12.4607101831954,5.38912995157799e-34,4.84309717091505e-33,65.8454623067957
"772","PDLIM3",-1.19614097222148,7.5103470945638,-12.3880180936771,1.2292787809561e-33,1.09361290342e-32,65.0264862748077
"773","STAC2",-1.42309818893759,6.27155353671664,-12.3446741054194,2.00628330255429e-33,1.77593225670546e-32,64.5400161086782
"774","DEGS2",1.31308581732775,7.00698472481964,12.3138778272789,2.83911414176511e-33,2.5031192777297e-32,64.1952209026394
"775","KLK7",-1.33503010114131,6.26882133862739,-12.2824154596817,4.04503041576668e-33,3.53285965102466e-32,63.8436952120762
"776","SOSTDC1",-1.18497495654116,6.23287238137029,-12.2788529898849,4.21026681085058e-33,3.675359270321e-32,63.8039384771554
"777","CST1",2.20825368923781,7.51336732635231,12.2618383729975,5.09681759693375e-33,4.43613759937846e-32,63.6141875927291
"778","GNPNAT1",-1.02312973856263,10.4850654012019,-12.2546868763474,5.52272114735523e-33,4.79033085885849e-32,63.5344967688841
"779","FMO1",-1.02555794008178,6.69858280804523,-12.2434987496585,6.2610539664712e-33,5.42277181444709e-32,63.4099011978252
"780","LDLR",-1.00625845008534,8.8724841845932,-12.2305116689327,7.24191873178768e-33,6.2569894816999e-32,63.2653886656069
"781","MCM10",1.0069863711094,6.73539095165914,12.2239739608632,7.79204091681204e-33,6.72244076364574e-32,63.1926884900127
"782","SGCE",-1.442901495384,8.73165027436887,-12.2184746998856,8.28681153964305e-33,7.1423269439633e-32,63.1315606573972
"783","HPN",1.31247610071504,7.39028167115669,12.1954500980348,1.07206893705086e-32,9.21760389921314e-32,62.8758723017514
"784","KPNA2",1.06997226796088,6.99466533144942,12.1411376736188,1.96496118995107e-32,1.67804459707748e-31,62.2743011033252
"785","MYC",-1.4303780812985,8.9603756622628,-12.1287323460829,2.25590953664388e-32,1.91909649182702e-31,62.137207672924
"786","SOX10",-1.45595243816872,6.12664208891858,-12.1227807526131,2.41031741847874e-32,2.0474963430939e-31,62.0714764844545
"787","FZD7",-1.04592383108899,7.39060076278,-12.0970880463906,3.20675904530242e-32,2.71362394618271e-31,61.788023123999
"788","SPARCL1",-1.44231522912781,10.4393541470105,-12.0963900636131,3.23170563664552e-32,2.73342639357784e-31,61.7803295725824
"789","CYFIP2",1.2171979427775,8.71359146529306,12.0906580392632,3.44400661563076e-32,2.90743202883273e-31,61.717161859562
"790","NAV2",-1.22911921946636,8.22476391564416,-12.070840156219,4.29059579020489e-32,3.61006075859009e-31,61.4989559874445
"791","FAM171A1",-1.19937598700053,7.81062598761995,-12.0665875243554,4.49763316715436e-32,3.78066255676293e-31,61.4521705791479
"792","CTGF",-1.33015557196256,10.9694962981734,-12.0590831251092,4.8874892176469e-32,4.09668882954043e-31,61.3696439272784
