name,logFC,AveExpr,t,P.Value,adj.P.Val,B
LOC101927391,-0.26527057209489907,0.42088947692115436,-20.67036023501874,2.9616678322278087e-85,2.037386927022907e-83,182.3038701052446
LOC284395,0.3021771660294953,0.29581500912306574,20.64528483806592,4.502340574042725e-85,3.081601992900354e-83,181.88580935031018
GREM1,0.2566187791047916,0.2748368403122287,20.626941118981556,6.115362363472965e-85,4.164592499989227e-83,181.58017740078242
FLJ32255,0.21953034586026413,0.34840661024262515,20.62040564572844,6.819995312311854e-85,4.621228823622513e-83,181.47132761692438
PHYHIPL,0.23349358474945853,0.2589517091491676,20.596972976323354,1.0081446783860006e-84,6.79720232909805e-83,181.08122552873
COX4I2,0.2817212567930612,0.45932115582824923,20.583007471154865,1.2724141342553914e-84,8.536513043281714e-83,180.8488605495801
NKX6-2,0.2792973053828275,0.31330048808410565,20.45397162925869,1.0884730877087813e-83,7.160673439140488e-82,178.70650063676362
PTPRN,0.21167027857239878,0.24654692918566576,20.44927269792852,1.1767822651103806e-83,7.704228626461777e-82,178.6286423415407
MIR4535,-0.2626809016647023,0.5704128305756059,-20.445868033806427,1.2452028833494855e-83,8.112975709207803e-82,178.57223615392326
LOC100631378,0.21533894717933827,0.4073783544282606,20.414958173694547,2.0794679088997644e-83,1.3483707704023734e-81,178.06040883037286
GPR158-AS1,0.20246308741333185,0.2236799010859736,20.406328590037386,2.3993474950762058e-83,1.5483789168225114e-81,177.91759988620217
TRIM71,0.25417432937539014,0.2585326809717935,20.391794602905286,3.0529142305660975e-83,1.9608101257171445e-81,177.6771651250434
ABLIM1,0.2710187002452362,0.38292182658603624,20.284815170231983,1.7921643931438114e-82,1.1349257876581743e-80,175.91069413666597
POU4F2,0.2008200610138277,0.2145378995893037,20.257208517071177,2.8270226526947635e-82,1.781944697177648e-80,175.4557875335355
TLX3,0.250025959537443,0.310181189312803,20.239405021073647,3.79226936248367e-82,2.3792978889064213e-80,175.16262435402254
BNC1,0.2089836224068584,0.22561634177095094,20.19437576244666,7.966039106839111e-82,4.9294868482138645e-80,174.42186591164193
SCTR,0.244238240294497,0.38842516807245875,20.178206033265813,1.0396445284389214e-81,6.375231968056227e-80,174.1561166262791
CR1,0.2665160593804477,0.26984102553613376,20.09253386987965,4.252353133911109e-81,2.5726736460162208e-79,172.75032931562183
TAC1,0.2618899431888005,0.312738014914984,20.09224105645484,4.272847339052531e-81,2.5735834283928847e-79,172.74553102316506
SPARC,0.23789985169943503,0.31124024274303036,20.072980214676683,5.8617147390923905e-81,3.4841209712359683e-79,172.4300031689989
NKX2-4,0.279052081039383,0.3580703816038304,20.064988523699018,6.683006763502984e-81,3.9549391990826394e-79,172.29914068162392
TMEM215,0.21063194820476122,0.2462307459451567,20.047224627750328,8.943408081053483e-81,5.2696115788885564e-79,172.0083779604946
ADCY4,0.26274777649221775,0.5704842117257777,20.01222657659382,1.587034512818005e-80,9.270470567978277e-79,171.43599968026848
AKR7L,0.23673096048517464,0.44505796434172135,20.009517348294366,1.6590395045151366e-80,9.649486422827953e-79,171.39171778136784
NKX2-6,0.20787528520961726,0.22359249997828393,19.996481407237308,2.0537927269434273e-80,1.1894444032280909e-78,171.1787004930897
LINC00898,-0.22038469541597586,0.5247497672701367,-19.96993565163302,3.1710912386044724e-80,1.8209588332867717e-78,170.74519434714838
PAM,0.20200087677610284,0.2898874978837752,19.90883976398221,8.605931839357007e-80,4.859482845290256e-78,169.7488549815452
EPHX3,0.21401718815400833,0.5269324998598409,19.87414900488588,1.515724886050091e-79,8.523279525207814e-78,169.1839891446244
SMIM24,0.20642389896981056,0.5421379341491006,19.786638141892254,6.302695655278731e-79,3.514984836227875e-77,167.76185113810024
SLC26A1,-0.32689614686297275,0.5588896428452597,-19.763141783851562,9.234331277659623e-79,5.128838421100131e-77,167.38069517841132
ZNF677,0.2274789093967782,0.24138565375395932,19.733648577877563,1.490883552776835e-78,8.17994085313023e-77,166.9026693883364
